time	V(n002)	V(n013)
3.397790583983157e-03	-1.932769e+00	5.958652e-02
3.408253753626014e-03	-1.777556e+00	5.415897e-02
3.418716923268871e-03	-1.616512e+00	4.856008e-02
3.429180092911728e-03	-1.449637e+00	4.278987e-02
3.439643262554584e-03	-1.276931e+00	3.684832e-02
3.450106432197442e-03	-1.098393e+00	3.073545e-02
3.460569601840298e-03	-9.140248e-01	2.445126e-02
3.471032771483155e-03	-7.238250e-01	1.799573e-02
3.475915583983155e-03	-6.346324e-01	1.497819e-02
3.480798396483155e-03	-5.450618e-01	1.195369e-02
3.485681208983155e-03	-4.551132e-01	8.922235e-03
3.490564021483155e-03	-3.647866e-01	5.883814e-03
3.495446833983155e-03	-2.740819e-01	2.838433e-03
3.500329646483155e-03	-1.829992e-01	-2.139105e-04
3.505212458983155e-03	-9.153856e-02	-3.273215e-03
3.514978083983154e-03	9.110668e-02	-9.365384e-03
3.521255985768868e-03	2.088187e-01	-1.327950e-02
3.527533887554583e-03	3.257424e-01	-1.715803e-02
3.533811789340297e-03	4.418779e-01	-2.100099e-02
3.540089691126011e-03	5.572250e-01	-2.480837e-02
3.546367592911725e-03	6.717838e-01	-2.858016e-02
3.552645494697439e-03	7.855543e-01	-3.231638e-02
3.558923396483153e-03	8.985366e-01	-3.601701e-02
3.570781655411725e-03	1.109748e+00	-4.290642e-02
3.582639914340296e-03	1.312095e+00	-4.947199e-02
3.594498173268867e-03	1.505579e+00	-5.571372e-02
3.606356432197438e-03	1.690198e+00	-6.163160e-02
3.618214691126010e-03	1.865954e+00	-6.722565e-02
3.630072950054580e-03	2.032847e+00	-7.249585e-02
3.641931208983152e-03	2.190876e+00	-7.744221e-02
3.659369825054580e-03	2.400992e+00	-8.391952e-02
3.676808441126008e-03	2.578076e+00	-8.926988e-02
3.694247057197436e-03	2.722129e+00	-9.349330e-02
3.711685673268864e-03	2.833150e+00	-9.658979e-02
3.729124289340293e-03	2.911139e+00	-9.855933e-02
3.746562905411721e-03	2.956097e+00	-9.940193e-02
3.764001521483149e-03	2.968023e+00	-9.911759e-02
3.781440137554577e-03	2.937901e+00	-9.743283e-02
3.798878753626006e-03	2.875465e+00	-9.469871e-02
3.816317369697434e-03	2.780717e+00	-9.091523e-02
3.833755985768862e-03	2.653656e+00	-8.608239e-02
3.851194601840290e-03	2.494282e+00	-8.020019e-02
3.868633217911718e-03	2.302595e+00	-7.326863e-02
3.886071833983146e-03	2.078596e+00	-6.528771e-02
3.897232548268860e-03	1.922518e+00	-5.979100e-02
3.908393262554575e-03	1.759067e+00	-5.407385e-02
3.919553976840288e-03	1.588241e+00	-4.813626e-02
3.930714691126003e-03	1.410043e+00	-4.197823e-02
3.941875405411717e-03	1.224471e+00	-3.559977e-02
3.953036119697431e-03	1.031525e+00	-2.900086e-02
3.964196833983145e-03	8.312054e-01	-2.218152e-02
3.969777191126002e-03	7.302433e-01	-1.875690e-02
3.975357548268860e-03	6.286878e-01	-1.531983e-02
3.980937905411716e-03	5.265390e-01	-1.187032e-02
3.986518262554573e-03	4.237969e-01	-8.408353e-03
3.992098619697430e-03	3.204614e-01	-4.933940e-03
3.997678976840288e-03	2.165325e-01	-1.447078e-03
4.003259333983144e-03	1.120103e-01	2.052234e-03
4.022790583983144e-03	-2.530290e-01	1.421450e-02
4.030463575054572e-03	-3.965433e-01	1.897075e-02
4.038136566126001e-03	-5.383429e-01	2.365618e-02
4.045809557197429e-03	-6.784278e-01	2.827079e-02
4.053482548268858e-03	-8.167980e-01	3.281458e-02
4.061155539340286e-03	-9.534536e-01	3.728755e-02
4.068828530411715e-03	-1.088394e+00	4.168970e-02
4.076501521483143e-03	-1.221621e+00	4.602103e-02
4.089754869697428e-03	-1.446879e+00	5.330553e-02
4.103008217911714e-03	-1.658769e+00	6.011244e-02
4.116261566125999e-03	-1.857289e+00	6.644178e-02
4.129514914340285e-03	-2.042440e+00	7.229354e-02
4.142768262554570e-03	-2.214221e+00	7.766772e-02
4.156021610768856e-03	-2.372634e+00	8.256433e-02
4.169274958983141e-03	-2.517677e+00	8.698335e-02
4.186016030411712e-03	-2.674062e+00	9.162902e-02
4.202757101840283e-03	-2.798577e+00	9.519836e-02
4.219498173268854e-03	-2.891221e+00	9.769136e-02
4.236239244697425e-03	-2.951995e+00	9.910804e-02
4.252980316125996e-03	-2.980898e+00	9.944838e-02
4.269721387554567e-03	-2.977931e+00	9.871240e-02
4.286462458983138e-03	-2.943093e+00	9.690008e-02
4.302505985768853e-03	-2.874543e+00	9.400348e-02
4.318549512554566e-03	-2.780067e+00	9.027223e-02
4.334593039340280e-03	-2.659665e+00	8.570635e-02
4.350636566125994e-03	-2.513337e+00	8.030583e-02
4.366680092911708e-03	-2.341083e+00	7.407067e-02
4.382723619697422e-03	-2.142903e+00	6.700087e-02
4.398767146483136e-03	-1.918797e+00	5.909644e-02
4.409230316125993e-03	-1.762835e+00	5.364583e-02
4.419693485768850e-03	-1.601112e+00	4.802631e-02
4.430156655411707e-03	-1.433628e+00	4.223787e-02
4.440619825054564e-03	-1.260383e+00	3.628051e-02
4.451082994697420e-03	-1.081376e+00	3.015423e-02
4.461546164340278e-03	-8.966088e-01	2.385903e-02
4.472009333983134e-03	-7.060801e-01	1.739492e-02
4.476892146483134e-03	-6.167626e-01	1.437433e-02
4.481774958983134e-03	-5.270842e-01	1.134735e-02
4.486657771483134e-03	-4.370447e-01	8.313985e-03
