v9	V(vo8)
3.000000000000018e-01	-8.774990e+00
3.100000000000018e-01	-9.047166e+00
3.200000000000018e-01	-9.319341e+00
3.300000000000018e-01	-9.591511e+00
3.400000000000018e-01	-9.823569e+00
3.500000000000018e-01	-9.872519e+00
3.600000000000018e-01	-9.889885e+00
3.700000000000018e-01	-9.900325e+00
3.800000000000018e-01	-9.908019e+00
3.900000000000018e-01	-9.913808e+00
4.000000000000019e-01	-9.918554e+00
4.100000000000019e-01	-9.922595e+00
4.200000000000019e-01	-9.926099e+00
4.300000000000019e-01	-9.929187e+00
4.400000000000019e-01	-9.931947e+00
4.500000000000019e-01	-9.934441e+00
4.600000000000019e-01	-9.936714e+00
4.700000000000019e-01	-9.938804e+00
4.800000000000019e-01	-9.940736e+00
4.900000000000019e-01	-9.942532e+00
5.000000000000019e-01	-9.944209e+00
5.100000000000019e-01	-9.945783e+00
5.200000000000019e-01	-9.947265e+00
5.300000000000019e-01	-9.948664e+00
5.400000000000019e-01	-9.949988e+00
5.500000000000019e-01	-9.951247e+00
5.600000000000019e-01	-9.952445e+00
5.700000000000019e-01	-9.953588e+00
5.800000000000020e-01	-9.954679e+00
5.900000000000020e-01	-9.955725e+00
6.000000000000020e-01	-9.956727e+00
6.100000000000020e-01	-9.957689e+00
6.200000000000020e-01	-9.958615e+00
6.300000000000020e-01	-9.959507e+00
6.400000000000020e-01	-9.960366e+00
6.500000000000020e-01	-9.961195e+00
6.600000000000020e-01	-9.961996e+00
6.700000000000020e-01	-9.962770e+00
6.800000000000020e-01	-9.963520e+00
6.900000000000021e-01	-9.964247e+00
7.000000000000021e-01	-9.964950e+00
7.100000000000021e-01	-9.965632e+00
7.200000000000021e-01	-9.966295e+00
7.300000000000021e-01	-9.966939e+00
7.400000000000021e-01	-9.967564e+00
7.500000000000021e-01	-9.968172e+00
7.600000000000021e-01	-9.968763e+00
7.700000000000021e-01	-9.969339e+00
