time	V(vo8)
3.825126620273640e-03	1.914477e+00
3.837983763130785e-03	1.885222e+00
3.850840905987930e-03	1.840283e+00
3.863698048845074e-03	1.779659e+00
3.876555191702219e-03	1.703351e+00
3.889412334559363e-03	1.611359e+00
3.902269477416508e-03	1.503682e+00
3.912412334559366e-03	1.408699e+00
3.922555191702225e-03	1.306642e+00
3.932698048845083e-03	1.197513e+00
3.942840905987941e-03	1.081310e+00
3.952983763130800e-03	9.580345e-01
3.963126620273658e-03	8.276859e-01
3.973269477416517e-03	6.902642e-01
3.977698048845089e-03	6.289835e-01
3.982126620273660e-03	5.668661e-01
3.986555191702232e-03	5.039120e-01
3.990983763130805e-03	4.401211e-01
3.995412334559377e-03	3.754935e-01
3.999840905987949e-03	3.100291e-01
4.004269477416521e-03	2.437279e-01
4.006555191702235e-03	2.092924e-01
4.008840905987950e-03	1.747059e-01
4.011126620273664e-03	1.399684e-01
4.013412334559379e-03	1.050800e-01
4.015698048845094e-03	7.004050e-02
4.017983763130809e-03	3.485005e-02
4.020269477416523e-03	-4.913775e-04
4.024840905987952e-03	-7.165628e-02
4.029412334559382e-03	-1.431170e-01
4.033983763130811e-03	-2.148736e-01
4.038555191702239e-03	-2.869260e-01
4.043126620273669e-03	-3.592743e-01
4.047698048845098e-03	-4.319184e-01
4.052269477416527e-03	-5.048584e-01
4.055840905987956e-03	-5.618613e-01
4.059412334559385e-03	-6.188168e-01
4.062983763130815e-03	-6.757249e-01
4.066555191702243e-03	-7.325856e-01
4.070126620273672e-03	-7.893988e-01
4.073698048845101e-03	-8.461646e-01
4.077269477416530e-03	-9.028829e-01
4.078269477416531e-03	-9.187189e-01
4.090412334559390e-03	-1.112485e+00
4.102555191702248e-03	-1.300686e+00
4.114698048845107e-03	-1.483321e+00
4.126840905987966e-03	-1.660391e+00
4.138983763130825e-03	-1.831896e+00
4.151126620273683e-03	-1.997835e+00
4.163269477416542e-03	-2.158209e+00
4.173698048845115e-03	-2.287755e+00
4.184126620273687e-03	-2.408905e+00
4.194555191702260e-03	-2.521659e+00
4.204983763130834e-03	-2.626018e+00
4.215412334559406e-03	-2.721982e+00
4.225840905987979e-03	-2.809550e+00
4.236269477416552e-03	-2.888722e+00
4.244126620273695e-03	-2.941339e+00
4.251983763130840e-03	-2.988032e+00
4.259840905987983e-03	-3.028802e+00
4.267698048845127e-03	-3.063647e+00
4.275555191702271e-03	-3.092569e+00
4.283412334559415e-03	-3.115567e+00
4.291269477416559e-03	-3.132641e+00
4.302698048845132e-03	-3.145953e+00
4.314126620273705e-03	-3.146383e+00
4.325555191702277e-03	-3.133932e+00
4.336983763130851e-03	-3.108598e+00
4.348412334559424e-03	-3.070383e+00
4.359840905987997e-03	-3.019286e+00
4.371269477416569e-03	-2.955307e+00
4.383269477416571e-03	-2.873971e+00
4.395269477416573e-03	-2.781279e+00
4.407269477416574e-03	-2.677229e+00
4.419269477416576e-03	-2.561823e+00
4.431269477416577e-03	-2.435060e+00
4.443269477416579e-03	-2.296939e+00
4.455269477416581e-03	-2.147462e+00
4.461698048845153e-03	-2.064299e+00
4.468126620273725e-03	-1.979120e+00
