time	V(vin4)	V(vo4)
2.042193024476640e-03	9.114292e-01	-9.979319e+00
2.045478738762355e-03	9.114262e-01	-9.979319e+00
2.048764453048070e-03	9.114232e-01	-9.979319e+00
2.053335881619499e-03	9.114190e-01	-9.979318e+00
2.057907310190928e-03	9.114149e-01	-9.979318e+00
2.062478738762357e-03	9.114107e-01	-9.979318e+00
2.067050167333787e-03	9.114065e-01	-9.979318e+00
2.071621595905216e-03	9.114023e-01	-9.979318e+00
2.076193024476645e-03	9.113981e-01	-9.979318e+00
2.080764453048074e-03	9.113939e-01	-9.979318e+00
2.091050167333790e-03	9.113845e-01	-9.979317e+00
2.101335881619505e-03	9.113751e-01	-9.979316e+00
2.111621595905221e-03	9.113657e-01	-9.979316e+00
2.121907310190936e-03	9.113563e-01	-9.979316e+00
2.132193024476652e-03	9.113469e-01	-9.979315e+00
2.142478738762368e-03	9.113374e-01	-9.979315e+00
2.152764453048084e-03	9.113280e-01	-9.979315e+00
2.163764453048085e-03	9.113180e-01	-9.979315e+00
2.174764453048086e-03	9.113079e-01	-9.979314e+00
2.185764453048088e-03	9.112978e-01	-9.979314e+00
2.196764453048089e-03	9.112878e-01	-9.979314e+00
2.207764453048091e-03	9.112777e-01	-9.979313e+00
2.218764453048092e-03	9.112676e-01	-9.979313e+00
2.229764453048094e-03	9.112575e-01	-9.979312e+00
2.237050167333809e-03	9.112509e-01	-9.979312e+00
2.244335881619524e-03	9.112442e-01	-9.979311e+00
2.251621595905240e-03	9.112375e-01	-9.979311e+00
2.258907310190955e-03	9.112309e-01	-9.979311e+00
2.266193024476670e-03	9.112242e-01	-9.979311e+00
2.273478738762385e-03	9.112175e-01	-9.979311e+00
2.280764453048101e-03	9.112108e-01	-9.979311e+00
2.284050167333815e-03	9.112078e-01	-9.979311e+00
2.287335881619530e-03	9.112048e-01	-9.979310e+00
2.290621595905245e-03	9.112018e-01	-9.979310e+00
2.293907310190959e-03	9.111988e-01	-9.979310e+00
2.297193024476674e-03	9.111958e-01	-9.979310e+00
2.300478738762389e-03	9.111928e-01	-9.979310e+00
2.303764453048104e-03	9.111898e-01	-9.979310e+00
2.308478738762390e-03	9.111855e-01	-9.979310e+00
2.313193024476676e-03	9.111811e-01	-9.979309e+00
2.317907310190962e-03	9.111768e-01	-9.979309e+00
2.322621595905249e-03	9.111725e-01	-9.979309e+00
2.327335881619535e-03	9.111682e-01	-9.979309e+00
2.332050167333822e-03	9.111639e-01	-9.979309e+00
2.336764453048108e-03	9.111596e-01	-9.979309e+00
2.350335881619538e-03	9.111471e-01	-9.979309e+00
2.363907310190969e-03	9.111347e-01	-9.979308e+00
2.377478738762399e-03	9.111223e-01	-9.979307e+00
2.391050167333830e-03	9.111099e-01	-9.979307e+00
2.404621595905260e-03	9.110974e-01	-9.979306e+00
2.418193024476690e-03	9.110850e-01	-9.979306e+00
2.431764453048121e-03	9.110726e-01	-9.979305e+00
2.439907310190979e-03	9.110652e-01	-9.979305e+00
2.448050167333837e-03	9.110577e-01	-9.979305e+00
2.456193024476695e-03	9.110502e-01	-9.979304e+00
2.464335881619554e-03	9.110428e-01	-9.979304e+00
2.472478738762412e-03	9.110353e-01	-9.979304e+00
2.480621595905270e-03	9.110279e-01	-9.979304e+00
2.488764453048128e-03	9.110204e-01	-9.979303e+00
2.491335881619557e-03	9.110180e-01	-9.979303e+00
2.493907310190986e-03	9.110157e-01	-9.979303e+00
2.496478738762415e-03	9.110133e-01	-9.979303e+00
2.499050167333844e-03	9.110110e-01	-9.979303e+00
2.501621595905273e-03	9.110086e-01	-9.979303e+00
2.504193024476702e-03	9.110063e-01	-9.979303e+00
2.506764453048131e-03	9.110039e-01	-9.979303e+00
2.508907310190988e-03	9.110020e-01	-9.979303e+00
2.511050167333845e-03	9.110000e-01	-9.979303e+00
2.513193024476703e-03	9.109981e-01	-9.979302e+00
2.515335881619560e-03	9.109961e-01	-9.979302e+00
