time	V(vout)
3.502840905987883e-03	-1.053421e-01
3.505269477416455e-03	-6.380878e-02
3.507412334559312e-03	-2.715414e-02
3.509555191702170e-03	9.488438e-03
3.511698048845027e-03	4.611897e-02
3.513840905987885e-03	8.273744e-02
3.515983763130742e-03	1.193439e-01
3.518126620273600e-03	1.559382e-01
3.520269477416457e-03	1.925205e-01
3.528126620273601e-03	3.270396e-01
3.535983763130745e-03	4.599584e-01
3.543840905987889e-03	5.912771e-01
3.551698048845032e-03	7.209956e-01
3.559555191702177e-03	8.491139e-01
3.567412334559320e-03	9.756320e-01
3.575269477416464e-03	1.100550e+00
3.588555191702180e-03	1.307254e+00
3.601840905987896e-03	1.501707e+00
3.615126620273613e-03	1.683906e+00
3.628412334559328e-03	1.853853e+00
3.641698048845044e-03	2.011548e+00
3.654983763130761e-03	2.156990e+00
3.668269477416477e-03	2.290179e+00
3.678698048845049e-03	2.382005e+00
3.689126620273622e-03	2.462870e+00
3.699555191702195e-03	2.532772e+00
3.709983763130768e-03	2.591714e+00
3.720412334559340e-03	2.639694e+00
3.730840905987914e-03	2.676712e+00
3.741269477416486e-03	2.702769e+00
3.748983763130773e-03	2.714118e+00
3.756698048845060e-03	2.719102e+00
3.764412334559346e-03	2.717720e+00
3.772126620273633e-03	2.709973e+00
3.779840905987920e-03	2.695861e+00
3.787555191702207e-03	2.675383e+00
3.795269477416493e-03	2.648540e+00
3.806840905987924e-03	2.595586e+00
3.818412334559354e-03	2.529970e+00
3.829983763130784e-03	2.451694e+00
3.841555191702214e-03	2.360756e+00
3.853126620273644e-03	2.257158e+00
3.864698048845074e-03	2.140899e+00
3.876269477416504e-03	2.011979e+00
3.887983763130791e-03	1.869715e+00
3.899698048845079e-03	1.719477e+00
3.911412334559366e-03	1.561265e+00
3.923126620273653e-03	1.395078e+00
3.934840905987940e-03	1.220916e+00
3.946555191702228e-03	1.038780e+00
3.958269477416515e-03	8.486701e-01
3.964412334559373e-03	7.479010e-01
3.970555191702230e-03	6.463959e-01
3.976698048845088e-03	5.441547e-01
3.982840905987947e-03	4.411773e-01
3.988983763130805e-03	3.374639e-01
3.995126620273662e-03	2.330144e-01
4.001269477416520e-03	1.278288e-01
4.003269477416521e-03	9.364486e-02
4.005269477416521e-03	5.945931e-02
4.007269477416521e-03	2.527212e-02
4.009269477416521e-03	-8.916723e-03
4.011269477416522e-03	-4.310721e-02
4.013269477416522e-03	-7.729933e-02
4.015269477416522e-03	-1.114931e-01
4.022269477416523e-03	-2.315220e-01
4.029269477416524e-03	-3.505378e-01
4.036269477416525e-03	-4.685404e-01
4.043269477416526e-03	-5.855299e-01
4.050269477416527e-03	-7.015062e-01
4.057269477416528e-03	-8.164694e-01
4.064269477416529e-03	-9.304194e-01
4.078269477416531e-03	-1.151588e+00
4.091840905987961e-03	-1.360737e+00
4.105412334559392e-03	-1.556735e+00
4.118983763130822e-03	-1.739582e+00
4.132555191702252e-03	-1.909279e+00
4.146126620273682e-03	-2.065824e+00
4.159698048845113e-03	-2.209219e+00
4.173269477416543e-03	-2.339463e+00
4.183126620273687e-03	-2.421831e+00
4.192983763130832e-03	-2.494337e+00
4.202840905987976e-03	-2.556981e+00
4.212698048845120e-03	-2.609763e+00
4.222555191702264e-03	-2.652683e+00
4.232412334559408e-03	-2.685742e+00
4.242269477416552e-03	-2.708938e+00
4.249412334559411e-03	-2.718907e+00
4.256555191702268e-03	-2.723415e+00
4.263698048845127e-03	-2.722461e+00
4.270840905987985e-03	-2.716046e+00
4.277983763130843e-03	-2.704170e+00
4.285126620273701e-03	-2.686832e+00
4.292269477416559e-03	-2.664033e+00
4.303840905987989e-03	-2.614731e+00
4.315412334559419e-03	-2.552644e+00
4.326983763130850e-03	-2.477774e+00
4.338555191702279e-03	-2.390120e+00
4.350126620273709e-03	-2.289682e+00
4.361698048845140e-03	-2.176460e+00
4.373269477416570e-03	-2.050455e+00
4.385126620273714e-03	-1.909119e+00
4.396983763130859e-03	-1.759417e+00
4.408840905988003e-03	-1.601349e+00
4.420698048845147e-03	-1.434916e+00
4.432555191702292e-03	-1.260118e+00
4.444412334559437e-03	-1.076953e+00
4.456269477416581e-03	-8.854234e-01
4.462555191702296e-03	-7.826845e-01
4.468840905988011e-03	-6.791356e-01
4.475126620273726e-03	-5.747768e-01
4.481412334559442e-03	-4.696081e-01
4.487698048845156e-03	-3.636295e-01
4.493983763130872e-03	-2.568410e-01
4.500269477416587e-03	-1.492426e-01
4.502412334559444e-03	-1.126244e-01
4.504555191702301e-03	-7.600271e-02
4.506698048845159e-03	-3.937762e-02
4.508840905988016e-03	-2.749094e-03
4.510983763130874e-03	3.388287e-02
4.513126620273731e-03	7.051827e-02
4.515269477416589e-03	1.071571e-01
4.522269477416590e-03	2.271860e-01
4.529269477416590e-03	3.462018e-01
4.536269477416591e-03	4.642045e-01
4.543269477416592e-03	5.811939e-01
4.550269477416593e-03	6.971703e-01
4.557269477416594e-03	8.121335e-01
4.564269477416595e-03	9.260835e-01
4.576698048845168e-03	1.125525e+00
4.589126620273741e-03	1.315373e+00
4.601555191702314e-03	1.495628e+00
4.613983763130888e-03	1.666290e+00
4.626412334559461e-03	1.827358e+00
4.638840905988034e-03	1.978832e+00
4.651269477416607e-03	2.120714e+00
4.662555191702322e-03	2.237113e+00
4.673840905988038e-03	2.341135e+00
4.685126620273754e-03	2.432778e+00
4.696412334559470e-03	2.512042e+00
4.707698048845185e-03	2.578928e+00
4.718983763130902e-03	2.633436e+00
4.730269477416617e-03	2.675565e+00
4.738412334559476e-03	2.696962e+00
4.746555191702333e-03	2.711257e+00
4.754698048845192e-03	2.718449e+00
4.762840905988050e-03	2.718538e+00
4.770983763130909e-03	2.711525e+00
4.779126620273766e-03	2.697410e+00
4.787269477416625e-03	2.676192e+00
4.798126620273769e-03	2.636227e+00
4.808983763130914e-03	2.584745e+00
4.819840905988058e-03	2.521748e+00
4.830698048845202e-03	2.447235e+00
4.841555191702346e-03	2.361206e+00
4.852412334559491e-03	2.263661e+00
4.863269477416635e-03	2.154600e+00
4.875555191702350e-03	2.017751e+00
4.887840905988067e-03	1.871223e+00
4.900126620273782e-03	1.715018e+00
4.912412334559499e-03	1.549135e+00
4.924698048845214e-03	1.373573e+00
4.936983763130931e-03	1.188334e+00
4.949269477416646e-03	9.934174e-01
4.956269477416647e-03	8.805264e-01
4.963269477416648e-03	7.664860e-01
4.970269477416649e-03	6.512963e-01
4.977269477416650e-03	5.349573e-01
4.984269477416651e-03	4.174689e-01
4.991269477416652e-03	2.988312e-01
4.998269477416653e-03	1.790442e-01
4.999269477416653e-03	1.619790e-01
5.000000000000000e-03	1.495092e-01
