time	V(vin)	V(vo1)	V(vo2)
1.358093083031021e-03	3.112380e+00	3.645737e+00	3.113979e+00
1.370369868745307e-03	2.905885e+00	3.436893e+00	2.907763e+00
1.382646654459593e-03	2.685625e+00	3.213388e+00	2.687763e+00
1.394923440173879e-03	2.451600e+00	2.975222e+00	2.453980e+00
1.407200225888164e-03	2.203810e+00	2.722395e+00	2.206414e+00
1.419477011602450e-03	1.942255e+00	2.454908e+00	1.945065e+00
1.431753797316736e-03	1.666935e+00	2.172759e+00	1.669932e+00
1.444030583031021e-03	1.377850e+00	1.875950e+00	1.381017e+00
1.449052904459593e-03	1.258380e+00	1.752971e+00	1.261610e+00
1.454075225888164e-03	1.137960e+00	1.628140e+00	1.141245e+00
1.459097547316736e-03	1.016589e+00	1.501456e+00	1.019921e+00
1.464119868745307e-03	8.942681e-01	1.372920e+00	8.976389e-01
1.469142190173879e-03	7.709966e-01	1.242531e+00	7.743982e-01
1.474164511602450e-03	6.467746e-01	1.110290e+00	6.501992e-01
1.479186833031022e-03	5.216023e-01	9.761961e-01	5.250416e-01
1.483093083031022e-03	4.241185e-01	8.693537e-01	4.275481e-01
1.486999333031022e-03	3.263792e-01	7.596774e-01	3.297716e-01
1.490905583031022e-03	2.284433e-01	6.451532e-01	2.317362e-01
1.494811833031022e-03	1.303698e-01	5.185542e-01	1.333267e-01
1.498718083031022e-03	3.221774e-02	3.612742e-01	3.373536e-02
1.500579063659310e-03	-1.455342e-02	2.380320e-01	-1.609638e-02
1.501971561634438e-03	-4.954948e-02	6.644207e-02	-5.667430e-02
1.503226139770849e-03	-8.107618e-02	-1.761035e-01	-9.448056e-02
1.503915585663757e-03	-9.839948e-02	-3.483123e-01	-1.106185e-01
1.504296173421291e-03	-1.079615e-01	-4.508180e-01	-1.078190e-01
1.504659113039853e-03	-1.170796e-01	-5.414131e-01	-8.686364e-02
1.504844530688782e-03	-1.217375e-01	-5.797601e-01	-6.675619e-02
1.505074413332389e-03	-1.275123e-01	-6.174098e-01	-3.512235e-02
1.505283321400409e-03	-1.327600e-01	-6.451278e-01	-6.263146e-03
1.505503629609299e-03	-1.382937e-01	-6.689103e-01	2.122236e-02
1.505758554128159e-03	-1.446967e-01	-6.919182e-01	4.762876e-02
1.506072071626931e-03	-1.525708e-01	-7.162039e-01	7.286071e-02
1.506439095275117e-03	-1.617880e-01	-7.413133e-01	9.451801e-02
1.506969154892991e-03	-1.750980e-01	-7.745785e-01	1.174216e-01
1.507403148970167e-03	-1.859943e-01	-8.004622e-01	1.321179e-01
1.507881730408117e-03	-1.980085e-01	-8.281710e-01	1.459663e-01
1.509924342560591e-03	-2.492643e-01	-9.428631e-01	1.993967e-01
1.517409148862908e-03	-4.366676e-01	-1.345176e+00	3.888388e-01
1.525779684577194e-03	-6.464836e-01	-1.780998e+00	5.995287e-01
1.534150220291479e-03	-8.531094e-01	-2.208357e+00	8.070469e-01
1.542520756005765e-03	-1.056545e+00	-2.627253e+00	1.011393e+00
1.550891291720051e-03	-1.256790e+00	-3.037687e+00	1.212568e+00
1.559261827434337e-03	-1.453845e+00	-3.439659e+00	1.410571e+00
1.567632363148623e-03	-1.647710e+00	-3.833168e+00	1.605402e+00
1.576002898862908e-03	-1.838384e+00	-4.218214e+00	1.797062e+00
1.589953791720051e-03	-2.147247e+00	-4.843253e+00	2.107992e+00
1.603904684577194e-03	-2.434594e+00	-5.424585e+00	2.397638e+00
1.617855577434337e-03	-2.700426e+00	-5.962209e+00	2.665998e+00
1.631806470291480e-03	-2.944743e+00	-6.456126e+00	2.913074e+00
1.645757363148623e-03	-3.167544e+00	-6.906335e+00	3.138864e+00
1.659708256005765e-03	-3.368830e+00	-7.312837e+00	3.343369e+00
1.673659148862908e-03	-3.548601e+00	-7.675631e+00	3.526589e+00
1.699886827434337e-03	-3.802361e+00	-8.188985e+00	3.787609e+00
1.726114506005765e-03	-3.951391e+00	-8.491541e+00	3.943830e+00
1.752342184577194e-03	-3.995692e+00	-8.583298e+00	3.995251e+00
1.778569863148623e-03	-3.935263e+00	-8.464256e+00	3.941874e+00
1.804797541720051e-03	-3.770105e+00	-8.134416e+00	3.783698e+00
1.831025220291480e-03	-3.500218e+00	-7.593776e+00	3.520723e+00
1.857252898862908e-03	-3.125601e+00	-6.842338e+00	3.152949e+00
1.869529684577194e-03	-2.920350e+00	-6.430306e+00	2.950490e+00
1.881806470291480e-03	-2.701233e+00	-5.989620e+00	2.733977e+00
1.894083256005766e-03	-2.468250e+00	-5.520280e+00	2.503409e+00
1.906360041720051e-03	-2.221400e+00	-5.022286e+00	2.258786e+00
1.918636827434337e-03	-1.960684e+00	-4.495637e+00	2.000108e+00
1.930913613148623e-03	-1.686103e+00	-3.940334e+00	1.727375e+00
1.943190398862908e-03	-1.397655e+00	-3.356377e+00	1.440588e+00
1.949328791720051e-03	-1.251544e+00	-3.060785e+00	1.295147e+00
1.955467184577194e-03	-1.104126e+00	-2.760861e+00	1.148419e+00
1.961605577434337e-03	-9.553996e-01	-2.456605e+00	1.000404e+00
1.967743970291480e-03	-8.053661e-01	-2.148016e+00	8.511022e-01
1.973882363148623e-03	-6.540251e-01	-1.835095e+00	7.005127e-01
1.980020756005766e-03	-5.013764e-01	-1.517841e+00	5.486360e-01
1.986159148862908e-03	-3.474202e-01	-1.196255e+00	3.954720e-01
1.990065398862908e-03	-2.495216e-01	-9.862835e-01	2.985178e-01
1.993971648862908e-03	-1.514728e-01	-7.683052e-01	2.024525e-01
1.997877898862908e-03	-5.333264e-02	-5.326546e-01	1.101426e-01
2.000093188511580e-03	2.342083e-03	-3.740683e-01	6.637823e-02
2.001272748671182e-03	3.198732e-02	-2.567681e-01	5.729728e-02
2.002235123808995e-03	5.617294e-02	-1.225353e-01	6.670599e-02
2.002628395035060e-03	6.605577e-02	-4.963942e-02	7.634340e-02
2.003155894497901e-03	7.931108e-02	6.797344e-02	9.277812e-02
2.003477115805113e-03	8.738250e-02	1.480269e-01	1.029522e-01
2.003870196420583e-03	9.725906e-02	2.540830e-01	1.151464e-01
2.004191353502538e-03	1.053280e-01	3.415736e-01	1.238105e-01
2.004476637096380e-03	1.124953e-01	4.132936e-01	1.290442e-01
2.004658601572490e-03	1.170667e-01	4.517366e-01	1.304694e-01
2.004739697512222e-03	1.191040e-01	4.651509e-01	1.304269e-01
2.004838420552503e-03	1.215840e-01	4.778517e-01	1.300440e-01
2.004942348592877e-03	1.241948e-01	4.885590e-01	1.297216e-01
2.005032560169926e-03	1.264610e-01	4.959114e-01	1.297190e-01
2.005133353746376e-03	1.289929e-01	5.024772e-01	1.301786e-01
2.005246309072802e-03	1.318302e-01	5.085267e-01	1.312821e-01
2.005376509906214e-03	1.351007e-01	5.143873e-01	1.332577e-01
2.005567354139537e-03	1.398943e-01	5.219088e-01	1.370141e-01
2.005753300620200e-03	1.445647e-01	5.286285e-01	1.412383e-01
2.005995509574586e-03	1.506480e-01	5.369342e-01	1.471367e-01
2.006281068382870e-03	1.578195e-01	5.464661e-01	1.542386e-01
2.007192532888367e-03	1.807065e-01	5.759217e-01	1.770273e-01
2.008312502006932e-03	2.088210e-01	6.107774e-01	2.050535e-01
2.010552440244063e-03	2.650175e-01	6.778740e-01	2.611207e-01
2.014458690244063e-03	3.628869e-01	7.905065e-01	3.588477e-01
2.018364940244063e-03	4.605377e-01	8.996055e-01	4.564220e-01
2.026177440244063e-03	6.549484e-01	1.110560e+00	6.507481e-01
2.033989940244063e-03	8.489040e-01	1.315312e+00	8.446682e-01
2.041802440244063e-03	1.039688e+00	1.515687e+00	1.035431e+00
2.049614940244063e-03	1.227301e+00	1.711687e+00	1.223037e+00
2.057427440244063e-03	1.411742e+00	1.903310e+00	1.407486e+00
2.065239940244063e-03	1.593011e+00	2.090558e+00	1.588777e+00
2.073052440244063e-03	1.771109e+00	2.273429e+00	1.766912e+00
2.080864940244063e-03	1.946036e+00	2.451924e+00	1.941889e+00
2.095373868815492e-03	2.261416e+00	2.773793e+00	2.257389e+00
2.109882797386920e-03	2.552566e+00	3.070706e+00	2.548688e+00
2.124391725958349e-03	2.819486e+00	3.342663e+00	2.815785e+00
2.138900654529778e-03	3.062175e+00	3.589665e+00	3.058682e+00
2.153409583101206e-03	3.280634e+00	3.811710e+00	3.277378e+00
2.167918511672635e-03	3.474863e+00	4.008799e+00	3.471872e+00
2.182427440244063e-03	3.644862e+00	4.180933e+00	3.642166e+00
2.207539047386920e-03	3.856324e+00	4.395666e+00	3.854218e+00
2.232650654529778e-03	3.971855e+00	4.513247e+00	3.970347e+00
2.257762261672635e-03	3.991456e+00	4.533678e+00	3.990554e+00
2.282873868815492e-03	3.915126e+00	4.456957e+00	3.914839e+00
2.307985475958349e-03	3.742866e+00	4.283085e+00	3.743200e+00
2.333097083101206e-03	3.474675e+00	4.012062e+00	3.475639e+00
2.358208690244063e-03	3.110554e+00	3.643888e+00	3.112156e+00
2.370485475958349e-03	2.903888e+00	3.434870e+00	2.905769e+00
2.382762261672635e-03	2.683471e+00	3.211203e+00	2.685612e+00
2.395039047386921e-03	2.449303e+00	2.972887e+00	2.451686e+00
2.407315833101206e-03	2.201385e+00	2.719922e+00	2.203991e+00
2.419592618815492e-03	1.939715e+00	2.452308e+00	1.942527e+00
2.431869404529778e-03	1.664294e+00	2.170045e+00	1.667293e+00
2.444146190244063e-03	1.375122e+00	1.873133e+00	1.378290e+00
2.449168511672635e-03	1.255622e+00	1.750120e+00	1.258853e+00
2.454190833101206e-03	1.135174e+00	1.625251e+00	1.138460e+00
2.459213154529778e-03	1.013779e+00	1.498526e+00	1.017112e+00
2.464235475958349e-03	8.914360e-01	1.369945e+00	8.948075e-01
2.469257797386921e-03	7.681454e-01	1.239507e+00	7.715476e-01
2.474280118815492e-03	6.439072e-01	1.107214e+00	6.473320e-01
2.479302440244063e-03	5.187214e-01	9.730653e-01	5.221608e-01
2.483208690244063e-03	4.212292e-01	8.661544e-01	4.246583e-01
2.487114940244064e-03	3.234832e-01	7.563727e-01	3.268739e-01
2.491021190244064e-03	2.255424e-01	6.416464e-01	2.288306e-01
2.494927440244064e-03	1.274658e-01	5.143573e-01	1.304012e-01
2.498833690244064e-03	2.931230e-02	3.548862e-01	3.071477e-02
2.500658989354237e-03	-1.656216e-02	2.305588e-01	-1.833134e-02
2.502038497791860e-03	-5.123164e-02	5.584037e-02	-5.869353e-02
2.503276562657673e-03	-8.234318e-02	-1.881379e-01	-9.575621e-02
2.503964454979336e-03	-9.962732e-02	-3.614676e-01	-1.107697e-01
2.504339712897820e-03	-1.090554e-01	-4.619726e-01	-1.062047e-01
2.504700935605874e-03	-1.181302e-01	-5.502785e-01	-8.276011e-02
2.504882320305216e-03	-1.226868e-01	-5.864222e-01	-6.206098e-02
2.505131827370968e-03	-1.289545e-01	-6.252840e-01	-2.731639e-02
2.505353166038162e-03	-1.345144e-01	-6.531221e-01	2.721694e-03
2.505573004846186e-03	-1.400363e-01	-6.755432e-01	2.888548e-02
2.505856553306465e-03	-1.471580e-01	-6.998745e-01	5.628750e-02
2.506167223086938e-03	-1.549604e-01	-7.229756e-01	7.914683e-02
2.506592844827884e-03	-1.656489e-01	-7.512075e-01	1.018883e-01
2.507108645073766e-03	-1.786003e-01	-7.829738e-01	1.223688e-01
2.507590159668147e-03	-1.906892e-01	-8.113518e-01	1.376805e-01
2.508574106673355e-03	-2.153866e-01	-8.675185e-01	1.645188e-01
2.511925601460485e-03	-2.994426e-01	-1.052325e+00	2.503807e-01
2.522704786243210e-03	-5.687000e-01	-1.622270e+00	5.216299e-01
2.532191393386067e-03	-8.055541e-01	-2.110396e+00	7.593285e-01
2.541678000528924e-03	-1.037538e+00	-2.587018e+00	9.922398e-01
2.551164607671781e-03	-1.264652e+00	-3.052135e+00	1.220364e+00
2.560651214814638e-03	-1.486897e+00	-3.505748e+00	1.443700e+00
2.570137821957495e-03	-1.704271e+00	-3.947856e+00	1.662249e+00
2.579624429100352e-03	-1.916775e+00	-4.378460e+00	1.876011e+00
2.589111036243210e-03	-2.124410e+00	-4.797560e+00	2.084985e+00
2.604178000528924e-03	-2.440839e+00	-5.437215e+00	2.403948e+00
2.619244964814638e-03	-2.729674e+00	-6.021048e+00	2.695558e+00
2.634311929100353e-03	-2.990914e+00	-6.549060e+00	2.959814e+00
2.649378893386067e-03	-3.224561e+00	-7.021251e+00	3.196718e+00
2.664445857671781e-03	-3.430612e+00	-7.437621e+00	3.406269e+00
2.679512821957495e-03	-3.609070e+00	-7.798169e+00	3.588467e+00
2.694579786243210e-03	-3.759933e+00	-8.102896e+00	3.743312e+00
2.718575321957495e-03	-3.918547e+00	-8.424666e+00	3.908782e+00
2.742570857671781e-03	-3.990046e+00	-8.571044e+00	3.987004e+00
2.766566393386067e-03	-3.974432e+00	-8.542027e+00	3.977979e+00
2.790561929100353e-03	-3.871703e+00	-8.337617e+00	3.881704e+00
2.814557464814639e-03	-3.681860e+00	-7.957813e+00	3.698182e+00
2.838553000528924e-03	-3.404903e+00	-7.402616e+00	3.427412e+00
2.862548536243210e-03	-3.040832e+00	-6.672025e+00	3.069393e+00
2.874267286243210e-03	-2.838229e+00	-6.265152e+00	2.869390e+00
2.885986036243210e-03	-2.623353e+00	-5.832847e+00	2.656941e+00
2.897704786243210e-03	-2.396205e+00	-5.375110e+00	2.432044e+00
2.909423536243210e-03	-2.156784e+00	-4.891942e+00	2.194701e+00
2.921142286243210e-03	-1.905090e+00	-4.383341e+00	1.944911e+00
2.932861036243210e-03	-1.641123e+00	-3.849308e+00	1.682674e+00
2.944579786243210e-03	-1.364884e+00	-3.289844e+00	1.407991e+00
2.950718179100353e-03	-1.218331e+00	-2.993417e+00	1.262080e+00
2.956856571957496e-03	-1.070522e+00	-2.692575e+00	1.114948e+00
2.962994964814638e-03	-9.214554e-01	-2.387317e+00	9.665935e-01
2.969133357671782e-03	-7.711320e-01	-2.077643e+00	8.170175e-01
2.975271750528924e-03	-6.195517e-01	-1.763554e+00	6.662197e-01
2.981410143386067e-03	-4.667145e-01	-1.445049e+00	5.142001e-01
2.987548536243210e-03	-3.126203e-01	-1.122129e+00	3.609587e-01
2.991454786243210e-03	-2.146615e-01	-9.099747e-01	2.641925e-01
2.995361036243210e-03	-1.165734e-01	-6.858953e-01	1.691216e-01
2.999267286243210e-03	-1.841504e-02	-4.351756e-01	8.119857e-02
3.000864399236821e-03	2.172462e-02	-3.007119e-01	5.854745e-02
3.001899824845501e-03	4.774667e-02	-1.758274e-01	6.072909e-02
