vin	V(vo)
Step Information: R=1K
9.499999999999964e+00	8.494130e+00
9.599999999999964e+00	8.494130e+00
9.699999999999964e+00	8.494130e+00
9.799999999999963e+00	8.494130e+00
9.899999999999963e+00	8.494130e+00
1.000000000000000e+01	8.494130e+00
Step Information: R=10K
-1.000000000000000e+01	-9.996400e+00
-9.900000000000000e+00	-9.996399e+00
-9.800000000000001e+00	-9.996398e+00
-9.700000000000001e+00	-9.996397e+00
-9.600000000000001e+00	-9.996396e+00
-9.500000000000002e+00	-9.996395e+00
-9.400000000000002e+00	-9.996394e+00
-9.300000000000002e+00	-9.996393e+00
-9.200000000000003e+00	-9.996392e+00
-9.100000000000003e+00	-9.996391e+00
-9.000000000000004e+00	-9.996390e+00
-8.900000000000004e+00	-9.996389e+00
-8.800000000000004e+00	-9.996388e+00
-8.700000000000005e+00	-9.996387e+00
-8.600000000000005e+00	-9.996387e+00
-8.500000000000005e+00	-9.996386e+00
-8.400000000000006e+00	-9.996385e+00
-8.300000000000006e+00	-9.996384e+00
-8.200000000000006e+00	-9.996382e+00
-8.100000000000007e+00	-9.996381e+00
-8.000000000000007e+00	-9.996380e+00
-7.900000000000007e+00	-9.996379e+00
-7.800000000000008e+00	-9.996378e+00
-7.700000000000008e+00	-9.996377e+00
-7.600000000000009e+00	-9.996376e+00
-7.500000000000009e+00	-9.996375e+00
-7.400000000000009e+00	-9.996374e+00
-7.300000000000010e+00	-9.996373e+00
-7.200000000000010e+00	-9.996372e+00
-7.100000000000010e+00	-9.996371e+00
-7.000000000000011e+00	-9.996370e+00
-6.900000000000011e+00	-9.996369e+00
-6.800000000000011e+00	-9.996368e+00
-6.700000000000012e+00	-9.996367e+00
-6.600000000000012e+00	-9.996367e+00
-6.500000000000012e+00	-9.996366e+00
-6.400000000000013e+00	-9.996365e+00
-6.300000000000013e+00	-9.996364e+00
-6.200000000000014e+00	-9.996363e+00
-6.100000000000014e+00	-9.996362e+00
-6.000000000000014e+00	-9.996361e+00
-5.900000000000015e+00	-9.996360e+00
-5.800000000000015e+00	-9.996358e+00
-5.700000000000015e+00	-9.996357e+00
-5.600000000000016e+00	-9.996356e+00
-5.500000000000016e+00	-9.996355e+00
-5.400000000000016e+00	-9.996354e+00
-5.300000000000017e+00	-9.996353e+00
-5.200000000000017e+00	-9.996352e+00
-5.100000000000017e+00	-9.996351e+00
-5.000000000000018e+00	-9.996350e+00
-4.900000000000018e+00	-9.996349e+00
-4.800000000000018e+00	-9.996348e+00
-4.700000000000019e+00	-9.996347e+00
-4.600000000000019e+00	-9.996346e+00
-4.500000000000020e+00	-9.996345e+00
-4.400000000000020e+00	-9.996344e+00
-4.300000000000020e+00	-9.996343e+00
-4.200000000000021e+00	-9.996341e+00
-4.100000000000021e+00	-9.996339e+00
-4.000000000000021e+00	-9.996337e+00
-3.900000000000021e+00	-9.996335e+00
-3.800000000000021e+00	-9.996332e+00
-3.700000000000021e+00	-9.996328e+00
-3.600000000000021e+00	-9.996323e+00
-3.500000000000021e+00	-9.996316e+00
-3.400000000000021e+00	-9.996307e+00
-3.300000000000021e+00	-9.996295e+00
-3.200000000000021e+00	-9.996278e+00
-3.100000000000021e+00	-9.996254e+00
-3.000000000000020e+00	-9.996222e+00
-2.900000000000020e+00	-9.996175e+00
-2.800000000000020e+00	-9.996110e+00
-2.700000000000020e+00	-9.996019e+00
-2.600000000000020e+00	-9.995892e+00
-2.500000000000020e+00	-9.995714e+00
-2.400000000000020e+00	-9.995468e+00
-2.300000000000020e+00	-9.995128e+00
-2.200000000000020e+00	-9.994660e+00
-2.100000000000020e+00	-9.994025e+00
-2.000000000000020e+00	-9.993174e+00
-1.900000000000019e+00	-9.992043e+00
-1.800000000000019e+00	-9.990563e+00
-1.700000000000019e+00	-9.988650e+00
-1.600000000000019e+00	-9.986196e+00
-1.500000000000019e+00	-9.983060e+00
-1.400000000000019e+00	-9.979034e+00
