v2	V(vo1)	V(vo2)
9.099999999999966e+00	8.494501e+00	8.494175e+00
9.199999999999966e+00	8.494501e+00	8.494175e+00
9.299999999999965e+00	8.494501e+00	8.494175e+00
9.399999999999965e+00	8.494501e+00	8.494175e+00
9.499999999999964e+00	8.494501e+00	8.494175e+00
9.599999999999964e+00	8.494501e+00	8.494175e+00
9.699999999999964e+00	8.494501e+00	8.494175e+00
9.799999999999963e+00	8.494501e+00	8.494175e+00
9.899999999999963e+00	8.494501e+00	8.494175e+00
1.000000000000000e+01	8.494501e+00	8.494175e+00
