vin	V(vo1)	V(vo2)
-7.280000000000058e+00	-9.996118e+00	-3.006410e+00
-7.270000000000058e+00	-9.996117e+00	-2.976616e+00
-7.260000000000058e+00	-9.996116e+00	-2.946821e+00
-7.250000000000059e+00	-9.996115e+00	-2.917026e+00
-7.240000000000059e+00	-9.996114e+00	-2.887231e+00
-7.230000000000059e+00	-9.996113e+00	-2.857435e+00
-7.220000000000059e+00	-9.996111e+00	-2.827639e+00
-7.210000000000059e+00	-9.996110e+00	-2.797842e+00
-7.200000000000060e+00	-9.996109e+00	-2.768045e+00
-7.190000000000060e+00	-9.996108e+00	-2.738248e+00
-7.180000000000060e+00	-9.996107e+00	-2.708450e+00
-7.170000000000060e+00	-9.996106e+00	-2.678651e+00
-7.160000000000061e+00	-9.996105e+00	-2.648853e+00
-7.150000000000061e+00	-9.996103e+00	-2.619053e+00
-7.140000000000061e+00	-9.996102e+00	-2.589254e+00
-7.130000000000061e+00	-9.996101e+00	-2.559454e+00
-7.120000000000061e+00	-9.996100e+00	-2.529654e+00
-7.110000000000062e+00	-9.996099e+00	-2.499853e+00
-7.100000000000062e+00	-9.996099e+00	-2.470052e+00
-7.090000000000062e+00	-9.996098e+00	-2.440250e+00
-7.080000000000062e+00	-9.996096e+00	-2.410448e+00
-7.070000000000062e+00	-9.996095e+00	-2.380646e+00
-7.060000000000063e+00	-9.996094e+00	-2.350843e+00
-7.050000000000063e+00	-9.996093e+00	-2.321040e+00
-7.040000000000063e+00	-9.996092e+00	-2.291236e+00
-7.030000000000063e+00	-9.996091e+00	-2.261432e+00
-7.020000000000064e+00	-9.996090e+00	-2.231628e+00
-7.010000000000064e+00	-9.996089e+00	-2.201823e+00
-7.000000000000064e+00	-9.996087e+00	-2.172018e+00
-6.990000000000064e+00	-9.996086e+00	-2.142213e+00
-6.980000000000064e+00	-9.996085e+00	-2.112407e+00
-6.970000000000065e+00	-9.996084e+00	-2.082601e+00
-6.960000000000065e+00	-9.996083e+00	-2.052794e+00
-6.950000000000065e+00	-9.996082e+00	-2.022987e+00
-6.940000000000065e+00	-9.996081e+00	-1.993180e+00
-6.930000000000065e+00	-9.996079e+00	-1.963372e+00
-6.920000000000066e+00	-9.996078e+00	-1.933564e+00
-6.910000000000066e+00	-9.996078e+00	-1.903755e+00
-6.900000000000066e+00	-9.996077e+00	-1.873946e+00
-6.890000000000066e+00	-9.996076e+00	-1.844137e+00
-6.880000000000067e+00	-9.996075e+00	-1.814328e+00
-6.870000000000067e+00	-9.996074e+00	-1.784518e+00
-6.860000000000067e+00	-9.996073e+00	-1.754707e+00
-6.850000000000067e+00	-9.996071e+00	-1.724897e+00
-6.840000000000067e+00	-9.996070e+00	-1.695086e+00
-6.830000000000068e+00	-9.996069e+00	-1.665274e+00
-6.820000000000068e+00	-9.996068e+00	-1.635462e+00
-6.810000000000068e+00	-9.996067e+00	-1.605650e+00
-6.800000000000068e+00	-9.996066e+00	-1.575838e+00
-6.790000000000068e+00	-9.996065e+00	-1.546025e+00
-6.780000000000069e+00	-9.996063e+00	-1.516212e+00
-6.770000000000069e+00	-9.996062e+00	-1.486398e+00
-6.760000000000069e+00	-9.996061e+00	-1.456584e+00
-6.750000000000069e+00	-9.996060e+00	-1.426770e+00
-6.740000000000069e+00	-9.996059e+00	-1.396955e+00
-6.730000000000070e+00	-9.996058e+00	-1.367140e+00
-6.720000000000070e+00	-9.996058e+00	-1.337325e+00
-6.710000000000070e+00	-9.996056e+00	-1.307509e+00
-6.700000000000070e+00	-9.996055e+00	-1.277694e+00
-6.690000000000071e+00	-9.996054e+00	-1.247877e+00
-6.680000000000071e+00	-9.996053e+00	-1.218060e+00
-6.670000000000071e+00	-9.996052e+00	-1.188244e+00
