time	V(v1)	V(v2)	V(vo2)
3.087671901503108e-03	5.244461e-01	-5.244461e-01	-4.153083e+00
3.100506722931679e-03	5.907472e-01	-5.907472e-01	-4.685495e+00
3.113341544360250e-03	6.530312e-01	-6.530312e-01	-5.186022e+00
3.126176365788822e-03	7.112980e-01	-7.112980e-01	-5.654666e+00
3.139011187217393e-03	7.655476e-01	-7.655476e-01	-6.091426e+00
3.151846008645965e-03	8.157800e-01	-8.157800e-01	-6.496302e+00
3.181979937217393e-03	9.107108e-01	-9.107108e-01	-7.264247e+00
3.212113865788822e-03	9.713060e-01	-9.713060e-01	-7.757513e+00
3.242247794360251e-03	9.975656e-01	-9.975656e-01	-7.976100e+00
3.272381722931679e-03	9.894896e-01	-9.894896e-01	-7.920008e+00
3.302515651503108e-03	9.470780e-01	-9.470780e-01	-7.589238e+00
3.332649580074537e-03	8.703307e-01	-8.703307e-01	-6.983789e+00
3.362783508645965e-03	7.592479e-01	-7.592479e-01	-6.103662e+00
3.374502258645965e-03	7.085164e-01	-7.085164e-01	-5.700584e+00
3.386221008645965e-03	6.547233e-01	-6.547233e-01	-5.272806e+00
3.397939758645965e-03	5.978685e-01	-5.978685e-01	-4.820329e+00
3.409658508645965e-03	5.379520e-01	-5.379520e-01	-4.343151e+00
3.421377258645965e-03	4.749739e-01	-4.749739e-01	-3.841274e+00
3.433096008645965e-03	4.089342e-01	-4.089342e-01	-3.314696e+00
3.444814758645965e-03	3.398328e-01	-3.398328e-01	-2.763419e+00
3.451511187217393e-03	2.997913e-01	-2.997913e-01	-2.443842e+00
3.458207615788822e-03	2.593998e-01	-2.593998e-01	-2.121381e+00
3.464904044360251e-03	2.186582e-01	-2.186582e-01	-1.796036e+00
3.471600472931680e-03	1.775665e-01	-1.775665e-01	-1.467807e+00
3.478296901503108e-03	1.361248e-01	-1.361248e-01	-1.136694e+00
3.484993330074537e-03	9.433296e-02	-9.433296e-02	-8.026976e-01
3.491689758645965e-03	5.219106e-02	-5.219106e-02	-4.658173e-01
3.511221008645965e-03	-7.044528e-02	7.044528e-02	5.150273e-01
3.518475472931680e-03	-1.160555e-01	1.160555e-01	8.800058e-01
3.525729937217394e-03	-1.611930e-01	1.611930e-01	1.241303e+00
3.532984401503108e-03	-2.058581e-01	2.058581e-01	1.598919e+00
3.540238865788822e-03	-2.500505e-01	2.500505e-01	1.952853e+00
3.547493330074537e-03	-2.937703e-01	2.937703e-01	2.303106e+00
3.554747794360251e-03	-3.370176e-01	3.370176e-01	2.649678e+00
3.562002258645965e-03	-3.797922e-01	3.797922e-01	2.992568e+00
3.574837080074537e-03	-4.541277e-01	4.541277e-01	3.588743e+00
3.587671901503108e-03	-5.244461e-01	5.244461e-01	4.153034e+00
3.600506722931680e-03	-5.907472e-01	5.907472e-01	4.685443e+00
3.613341544360251e-03	-6.530312e-01	6.530312e-01	5.185969e+00
3.626176365788822e-03	-7.112980e-01	7.112980e-01	5.654613e+00
3.639011187217394e-03	-7.655476e-01	7.655476e-01	6.091373e+00
3.651846008645965e-03	-8.157800e-01	8.157800e-01	6.496251e+00
3.681979937217394e-03	-9.107108e-01	9.107108e-01	7.264212e+00
3.712113865788823e-03	-9.713060e-01	9.713060e-01	7.757493e+00
3.742247794360251e-03	-9.975656e-01	9.975656e-01	7.976095e+00
3.772381722931680e-03	-9.894896e-01	9.894896e-01	7.920018e+00
3.802515651503108e-03	-9.470780e-01	9.470780e-01	7.589262e+00
3.832649580074537e-03	-8.703307e-01	8.703307e-01	6.983827e+00
3.862783508645965e-03	-7.592479e-01	7.592479e-01	6.103712e+00
3.868363865788823e-03	-7.358888e-01	7.358888e-01	5.918171e+00
